City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,karlskrona,56.1616,15.5866,277.4,91,100,6.73,SE,1703056595
383,ulsteinvik,62.3432,5.8487,277.22,86,100,10.73,NO,1703056596
384,queenstown,-31.8976,26.8753,299.33,38,0,0.9,ZA,1703056597
385,korla,41.7597,86.1469,269.62,52,100,1.89,CN,1703056598
386,east london,-33.0153,27.9116,299.67,69,0,4.12,ZA,1703056599
387,saint-francois,46.4154,3.9054,279.84,100,100,4.63,FR,1703056600
388,choma,-16.8065,26.9531,294.43,84,99,3.21,ZM,1703056601
389,oum hadjer,13.2954,19.6966,298.63,21,11,4.09,TD,1703056602
390,trincomalee,8.5711,81.2335,300.49,83,100,4.98,LK,1703056603
391,kitimat,54.0524,-128.6534,274.36,100,100,1.16,CA,1703056604
392,bayanhongor,46.7167,100.1167,246.68,76,3,0.65,MN,1703056604
393,chegdomyn,51.1167,133.0167,243.88,96,48,0.41,RU,1703056605
394,hiratacho,35.4333,132.8167,279.13,61,75,6.69,JP,1703056606
395,papao,-17.75,-149.55,299.97,85,100,6.78,PF,1703056607
396,santarem,-2.4431,-54.7083,298.22,100,40,0.51,BR,1703056601
397,pobugskoye,48.1658,30.5927,276.11,82,9,3.46,UA,1703056609
398,necochea,-38.5473,-58.7368,285.92,84,100,2.64,AR,1703056610
399,vokhtoga,58.8147,41.0461,272.91,85,100,6.35,RU,1703056611
400,taltal,-25.4,-70.4833,290.0,84,32,0.31,CL,1703056611
401,tostado,-29.232,-61.7692,292.03,90,100,3.94,AR,1703056612
402,lerwick,60.1545,-1.1494,278.15,57,100,13.05,GB,1703056613
403,vung tau,10.346,107.0843,301.32,68,67,4.05,VN,1703056614
404,lompoc,34.6391,-120.4579,289.0,90,100,3.6,US,1703056370
405,tralee,52.2704,-9.7026,283.39,89,88,8.76,IE,1703056616
406,torit,4.4133,32.5678,305.18,32,84,1.17,SS,1703056616
407,mata-utu,-13.2816,-176.1745,302.16,76,95,2.89,WF,1703056617
408,tortoli,39.9256,9.6572,285.05,76,0,1.54,IT,1703056618
409,exu,-7.5119,-39.7242,295.68,83,44,4.64,BR,1703056619
410,cururupu,-1.8283,-44.8683,300.11,76,100,2.83,BR,1703056620
411,jinghong,21.991,100.7341,299.81,45,93,1.7,CN,1703056621
412,caister-on-sea,52.6481,1.7265,280.28,82,80,10.61,GB,1703056624
413,verkhnevilyuysk,63.4453,120.3167,248.89,91,100,3.52,RU,1703056625
414,thinadhoo,0.5333,72.9333,301.46,77,55,3.65,MV,1703056626
415,port macquarie,-31.4333,152.9167,294.2,94,100,2.32,AU,1703056628
416,graneros,-34.0667,-70.7333,284.57,58,0,1.47,CL,1703056545
417,dubovka,49.0583,44.829,276.68,93,100,9.23,RU,1703056630
418,bardai,11.65,7.2333,292.7,32,0,2.43,NG,1703056631
419,kailua-kona,19.6406,-155.9956,295.65,89,100,0.22,US,1703056474
420,uliastay,47.7417,96.8444,255.49,63,100,0.07,MN,1703056633
421,ribeira brava,32.65,-17.0667,291.5,69,20,3.81,PT,1703056634
422,savoy,45.5,6.4167,272.49,84,100,0.67,FR,1703056635
423,puerto leguizamo,-0.1934,-74.7819,297.19,93,99,1.05,CO,1703056636
424,liwonde,-15.0506,35.2035,301.36,65,100,1.13,MW,1703056637
425,taro,-8.3862,115.28,299.18,50,69,2.58,ID,1703056638
426,mermoz boabab,14.7065,-17.4758,292.03,30,100,8.23,SN,1703056639
427,ziway,7.9333,38.7167,294.51,48,100,3.03,ET,1703056365
428,zaragoza,41.6561,-0.8773,285.4,68,20,9.77,ES,1703056376
